
; Gameboy Instruction Table
; By David Phillips

; "" -- no argument
; *  -- 8 or 16 bit value
; !  -- bit value (multiplied by 8)
; @  -- relative value (determined by PC)

;Inst Args Opcode Bytes Time

ADC  A,(HL)  8E   1   2
ADC  A,[HL]  8E   1   2
ADC  A,A     8F   1   1
ADC  A,B     88   1   1
ADC  A,C     89   1   1
ADC  A,D     8A   1   1
ADC  A,E     8B   1   1
ADC  A,H     8C   1   1
ADC  A,L     8D   1   1
ADC  A,*     CE   2   2

ADD  A,(HL)  86   1   2
ADD  A,[HL]  86   1   2
ADD  A,A     87   1   1
ADD  A,B     80   1   1
ADD  A,C     81   1   1
ADD  A,D     82   1   1
ADD  A,E     83   1   1
ADD  A,H     84   1   1
ADD  A,L     85   1   1
ADD  A,*     C6   2   2
ADD  HL,BC   09   1   2
ADD  HL,DE   19   1   2
ADD  HL,HL   29   1   2
ADD  HL,SP   39   1   2
ADD  SP,*    E8   2   4

AND  (HL)    A6   1   2
AND  [HL]    A6   1   2
AND  A       A7   1   1
AND  B       A0   1   1
AND  C       A1   1   1
AND  D       A2   1   1
AND  E       A3   1   1
AND  H       A4   1   1
AND  L       A5   1   1
AND  *       E6   2   2

BIT  !,(HL)  46CB 2   3
BIT  !,[HL]  46CB 2   3
BIT  !,A     47CB 2   2
BIT  !,B     40CB 2   2
BIT  !,C     41CB 2   2
BIT  !,D     42CB 2   2
BIT  !,E     43CB 2   2
BIT  !,H     44CB 2   2
BIT  !,L     45CB 2   2

CALL C,*     DC   3   3
CALL NC,*    D4   3   3
CALL NZ,*    C4   3   3
CALL Z,*     CC   3   3
CALL *       CD   3   6

CCF  ""      3F   1   1

CP   (HL)    BE   1   2
CP   [HL]    BE   1   2
CP   A       BF   1   1
CP   B       B8   1   1
CP   C       B9   1   1
CP   D       BA   1   1
CP   E       BB   1   1
CP   H       BC   1   1
CP   L       BD   1   1
CP   *       FE   2   2
CPL  ""      2F   1   1

DAA  ""      27   1   1

DEC  (HL)    35   1   3
DEC  [HL]    35   1   3
DEC  A       3D   1   1
DEC  B       05   1   1
DEC  BC      0B   1   2
DEC  C       0D   1   1
DEC  D       15   1   1
DEC  DE      1B   1   2
DEC  E       1D   1   1
DEC  H       25   1   1
DEC  HL      2B   1   2
DEC  L       2D   1   1
DEC  SP      3B   1   2

DI   ""      F3   1   1

;DJNZ @       2005 2   3         ; DEC B|JR NZ,@

EI   ""      FB   1   1

;EX   AF,BC   C1F1C5F5 4   14    ; PUSH AF|PUSH BC|POP AF|POP BC
;EX   AF,DE   D1F1D5F5 4   14    ; PUSH AF|PUSH DE|POP AF|POP DE
;EX   AF,HL   E1F1E5F5 4   14    ; PUSH AF|PUSH HL|POP AF|POP HL
;EX   BC,DE   D1424BC5 4   14    ; PUSH BC|LD C,E|LD B,D|POP DE
;EX   BC,HL   E1444DC5 4   14    ; PUSH BC|LD C,L|LD B,H|POP HL
;EX   DE,HL   E1545DD5 4   14    ; PUSH DE|LD E,L|LD D,H|POP HL

HALT ""      0076 2   2

;IN   A,(C)   F2   1   1         ;  LD A,($FF00+C)
;IN   A,[C]   F2   1   1         ;  LD A,($FF00+C)
;IN   A,(*)   F0   2   1		;  LD A,($FF00+*)
;IN   A,[*]   F0   2   1         ;  LD A,($FF00+*)

INC  (HL)    34   1   3
INC  [HL]    34   1   3
INC  A       3C   1   1
INC  B       04   1   1
INC  BC      03   1   2
INC  C       0C   1   1
INC  D       14   1   1
INC  DE      13   1   2
INC  E       1C   1   1
INC  H       24   1   1
INC  HL      23   1   2
INC  L       2C   1   1
INC  SP      33   1   2

JP   (HL)    E9   1   1
JP   [HL]    E9   1   1
JP   C,*     DA   3   3
JP   NC,*    D2   3   3
JP   NZ,*    C2   3   3
JP   Z,*     CA   3   3
JP   *       C3   3   4

JR   C,@     38   2  2
JR   NC,@    30   2  2
JR   NZ,@    20   2  2
JR   Z,@     28   2  2
JR   @       18   2  3

LD  ($FF00+C),A   E2   1   2
LD  [$FF00+C],A   E2   1   2
LD  ($FF00+*),A   E0   2   3
LD  [$FF00+*],A   E0   2   3
